"","JMBAG","Predavanja","Labos","Status","Broj.ponavljanja","Rang.matura","Srednja.škola","Spol","Dvorana","Pitanje.1","Pitanje.2","Pitanje.3","Pitanje.4","Pitanje.5","Pitanje.6","Pitanje.7","Pitanje.8","Pitanje.9","Pitanje.10","Broj.bodova"
"482","jsbdpoqhlu",1.08,"1.01-27","redoviti",NA,57,"gimnazija","F","D346","-","D","A","E","B","-","E","A","C","B",11
"483","usfkejxwyl",1.05,"1.01-01","redoviti",NA,NA,"","M","A111","D","D","D","C","A","-","-","-","C","B",10.5
"484","qmfvryosdk",1.09,"-","ponavlja",1,NA,"gimnazija","M","A201","D","-","D","C","D","-","E","A","C","B",10.5
"485","vghprwsdtb",1.04,"1.01-28","redoviti",NA,NA,"","F","A202","-","D","D","C","C","-","E","A","C","-",10.5
"486","jqlytrkauf",1.08,"1.01-32","redoviti",NA,NA,"","M","A202","E","-","B","D","-","A","C","D","C","B",10.5
"487","vjiqdhozwl",1.09,"1.01-10","redoviti",NA,NA,"","M","A301","E","-","D","C","E","A","A","-","C","B",10.5
"488","cbiodrqsvl",1.06,"1.01-18","redoviti",NA,NA,"","M","D1","-","-","A","C","A","C","C","A","C","B",10.5
"489","opbmzqyetl",1.08,"1.01-25","redoviti",NA,NA,"gimnazija","F","D1","E","-","D","C","A","A","A","-","C","C",10.5
"490","lsmyqenkoc",1.02,"1.01-15","redoviti",NA,NA,"","M","D152","C","-","D","C","A","A","-","C","C","B",10.5
"491","apxlcyuvft",1.09,"-","ponavlja",1,NA,"","M","D152","E","D","D","C","C","A","B","A","-","-",10.5
"492","bokdqpanwr",1.03,"1.01-21","redoviti",NA,NA,"","M","D152","B","D","D","C","A","C","-","A","-","B",10.5
"493","ngwaqcdtsr",1.09,"-","ponavlja",1,NA,"","M","D2","A","A","D","D","A","A","E","C","C","B",10.5
"494","vfzadwhoun",1.03,"1.01-21","redoviti",NA,NA,"","F","D2","-","-","D","C","C","A","E","A","C","D",10.5
"495","svtgqcalow",1.07,"1.01-10","redoviti",NA,NA,"","M","D260","A","D","D","C","-","A","-","A","C","-",10.5
"496","wrfcatbdip",1.09,"1.01-05","redoviti",NA,NA,"gimnazija","M","D272","E","A","A","E","C","A","E","D","C","B",10.5
"497","jlteovxisu",1.09,"-","ponavlja",1,NA,"","M","D272","E","-","D","C","D","-","D","A","C","B",10.5
"498","rlcwdavsug",1.08,"1.01-32","redoviti",NA,NA,"","F","A111","E","-","-","C","-","-","-","-","C","B",10
"499","ownldtvxci",1.05,"1.01-01","redoviti",NA,NA,"gimnazija","M","A201","-","-","B","C","B","-","D","A","C","B",10
"500","rxwjszagpm",1.03,"1.01-22","redoviti",NA,NA,"gimnazija","F","A202","A","D","D","C","A","-","E","C","D","B",10
"501","yhenuoalbd",1.07,"1.01-16","redoviti",NA,NA,"gimnazija","M","B1","E","-","D","C","A","-","E","-","D","-",10
"502","borgwacndz",1.04,"1.01-31","redoviti",NA,NA,"","F","B1","E","C","D","C","B","A","-","C","C","B",10
"503","agcoqkhnet",1.05,"1.01-02","redoviti",NA,580,"tehni?ka","M","B4","-","-","B","C","B","A","D","-","C","B",10
"504","kozpmewxfd",1.06,"1.01-18","redoviti",NA,NA,"gimnazija","M","B4","-","D","-","C","B","C","-","A","C","B",10
"505","swknxdzaic",1.01,"1.01-06","redoviti",NA,NA,"gimnazija","M","C12-02","-","-","B","C","C","C","E","-","C","B",10
"506","zlvwqdrtjy",1.05,"1.01-01","redoviti",NA,NA,"gimnazija","M","C12-02","-","-","-","C","A","-","-","-","C","B",10
"507","tufrxjmaqi",1.04,"1.01-30","redoviti",NA,NA,"gimnazija","M","D1","-","D","B","C","B","-","-","-","C","B",10
"508","xgdkaqylpi",1.05,"1.01-03","redoviti",NA,NA,"gimnazija","M","D152","-","-","-","C","A","-","E","-","C","-",10
"509","tearbhcmkj",1.01,"1.01-04","redoviti",NA,NA,"gimnazija","M","D2","-","D","B","C","B","-","-","-","C","B",10
"510","uiblmzcgqx",1.04,"1.01-28","redoviti",NA,NA,"gimnazija","M","D260","E","D","-","C","-","A","-","-","-","-",10
"511","krpwsqlnbi",1.02,"1.01-05","redoviti",NA,NA,"gimnazija","M","D272","D","D","B","C","-","-","E","A","-","C",10
"512","oqrhkitsua",1.04,"1.01-30","redoviti",NA,NA,"","M","D273","-","-","B","C","D","A","A","-","C","B",10
"513","gfspqhotvl",1.02,"1.01-14","redoviti",NA,NA,"","M","D346","-","-","D","D","A","A","-","A","C","-",10
"514","oehwkzfarl",1.03,"1.01-22","redoviti",NA,NA,"","M","D346","C","D","B","C","A","-","-","-","C","-",10
"515","suzxhpioqw",1.08,"1.01-32","redoviti",NA,NA,"gimnazija","M","D346","-","D","D","C","A","B","E","A","B","C",10
"516","xqrvnwidej",1.09,"-","ponavlja",1,NA,"","F","A201","E","C","D","B","A","-","E","A","-","A",9.5
"517","pjlfnuqsmh",1.08,"1.01-27","redoviti",NA,265,"gimnazija","F","A211","E","D","C","C","-","-","-","-","-","B",9.5
"518","nvcmbodzru",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","M","A301","E","D","B","C","C","C","-","-","A","B",9.5
"519","anyjregbiq",1.01,"1.01-05","redoviti",NA,378,"gimnazija","M","B1","E","D","-","B","-","A","A","A","-","-",9.5
"520","wrayvgszhi",1.04,"-","ponavlja",1,NA,"tehni?ka","M","D1","A","D","D","C","C","-","E","A","C","-",9.5
"521","wkzajlbyxu",1.09,"-","ponavlja",1,NA,"","M","D152","-","B","B","C","A","C","E","-","C","A",9.5
"522","zngylqwjch",1.04,"1.01-31","redoviti",NA,NA,"","M","D2","-","D","B","E","B","A","B","-","C","B",9.5
"523","kjqbphcmza",1.04,"1.01-30","redoviti",NA,NA,"","M","D2","E","-","D","C","B","A","-","-","-","B",9.5
"524","psiontjuxe",1.06,"1.01-19","redoviti",NA,NA,"gimnazija","M","D273","E","D","E","C","-","-","D","C","C","B",9.5
"525","hgwcsmuvtd",1.02,"1.01-12","redoviti",NA,NA,"tehni?ka","M","D273","-","-","D","C","A","A","-","-","C","-",9.5
"526","rvqhyaipfj",1.04,"1.01-29","redoviti",NA,NA,"","M","A111","-","-","B","C","A","-","-","-","C","-",9
"527","zsmapedhou",1.07,"1.01-16","redoviti",NA,NA,"gimnazija","M","A302","E","-","D","B","C","A","E","-","C","-",9
"528","shtxecgdni",1.06,"1.01-19","redoviti",NA,NA,"gimnazija","M","B4","A","E","B","B","A","C","B","A","C","B",9
"529","irsgdlewty",1.09,"-","ponavlja",1,NA,"gimnazija","M","B4","E","C","D","C","C","E","D","A","C","B",9
"530","alufymwqsx",1.09,"-","ponavlja",1,NA,"gimnazija","M","C12-02","-","-","D","D","B","A","E","-","C","B",9
"531","ylfdkzsheo",1.06,"-","ponavlja",1,NA,"","M","D2","D","D","D","E","B","D","E","A","C","B",9
"532","pgztfwdych",1.01,"1.01-05","redoviti",NA,NA,"","F","D260","E","D","-","C","E","-","E","-","-","-",9
"533","bfoxkhvjrl",1.02,"1.01-13","redoviti",NA,NA,"gimnazija","M","D272","D","A","D","C","C","C","E","A","C","B",9
"534","adqxljybws",1.06,"1.01-19","redoviti",NA,NA,"gimnazija","M","A111","E","-","B","C","C","-","-","-","E","B",8.5
"535","sqojuyphaf",1.04,"1.01-14","ponavlja",1,NA,"","F","A111","E","-","D","C","A","E","-","-","C","-",8.5
"536","mvxeuflskp",1.07,"1.01-10","redoviti",NA,NA,"tehni?ka","M","A201","B","-","D","C","-","A","-","-","C","B",8.5
"537","eahwpitnbq",1.02,"1.01-13","redoviti",NA,296,"gimnazija","M","A301","-","D","D","C","A","-","-","-","C","-",8.5
"538","xjbwikqoev",1.09,"1.01-11","ponavlja",1,NA,"","M","A302","C","-","E","C","B","A","E","A","-","-",8.5
"539","kdfqetnrcl",1.06,"1.01-24","redoviti",NA,NA,"tehni?ka","M","A302","-","D","D","C","B","C","B","A","C","B",8.5
"540","bemnwhrfxo",1.08,"1.01-32","redoviti",NA,420,"gimnazija","M","B1","-","E","D","C","A","D","-","A","E","B",8.5
"541","sqhwkrumpe",1.04,"1.01-28","redoviti",NA,NA,"","M","B1","E","D","D","-","C","-","-","A","C","-",8.5
"542","kxvhiulzqs",1.04,"1.01-29","redoviti",NA,NA,"gimnazija","F","B4","-","-","D","C","B","-","E","-","C","B",8.5
"543","qfkgrpsnil",1.08,"1.01-26","redoviti",NA,NA,"","M","B4","B","-","A","C","A","A","-","-","C","-",8.5
"544","phaqnsdwzy",1.04,"1.01-29","redoviti",NA,NA,"","F","C12-02","E","A","D","D","A","E","-","-","C","B",8.5
"545","gohxtjewvf",1.01,"-","ponavlja",1,NA,"gimnazija","M","C12-02","B","D","D","C","B","-","D","A","C","B",8.5
"546","kwtoyzejvp",1.06,"1.01-24","redoviti",NA,NA,"gimnazija","M","D260","D","-","D","-","A","D","E","-","C","B",8.5
"547","yqhsbwlmuf",1.08,"1.01-27","redoviti",NA,NA,"gimnazija","F","D272","E","-","D","C","-","B","-","-","C","B",8.5
"548","peqlfuvnya",1.05,"1.01-08","redoviti",NA,NA,"","M","D272","E","-","-","B","A","-","A","A","C","A",8.5
"549","afhpqxwyve",1.06,"1.01-05","redoviti",NA,NA,"gimnazija","M","D273","E","-","A","C","C","-","E","-","C","-",8.5
"550","qhypgoinbz",1.02,"1.01-12","redoviti",NA,NA,"gimnazija","M","A111","E","-","-","B","-","-","-","A","E","B",8
"551","wqnpesdfic",1.03,"1.01-22","redoviti",NA,NA,"","F","A201","E","-","D","C","A","A","-","C","D","C",8
"552","wmpiarquns",1.08,"1.01-26","redoviti",NA,NA,"gimnazija","M","A202","E","-","-","-","-","-","E","A","-","A",8
"553","pyuibhzaev",1.03,"1.01-22","redoviti",NA,NA,"","M","A211","-","C","D","C","E","-","E","A","C","-",8
"554","rblpautkwh",1.06,"1.01-18","redoviti",NA,NA,"","M","A301","A","-","B","C","-","-","-","-","C","B",8
"555","iqxkhcfbay",1.05,"1.01-08","redoviti",NA,NA,"","M","A301","-","D","B","C","B","C","B","-","C","B",8
"556","pexaofguzw",1.07,"1.01-16","redoviti",NA,NA,"","F","A302","C","-","B","C","-","-","-","-","C","B",8
"557","hxitwsykoe",1.06,"1.01-19","redoviti",NA,NA,"","M","B2","E","D","D","C","B","-","E","-","E","-",8
"558","fkgdmjrysi",1.02,"1.01-14","redoviti",NA,NA,"","F","B4","E","C","D","C","B","-","-","-","C","B",8
"559","gruvjetlqi",1.01,"-","ponavlja",1,NA,"","M","D152","E","-","-","C","-","A","-","-","-","-",8
"560","bezwyoaxqj",1.01,"1.01-06","redoviti",NA,NA,"","F","D273","E","D","-","C","B","B","C","C","C","B",8
"561","wjlbhenfrs",1.03,"1.01-23","redoviti",NA,NA,"","F","D346","-","B","D","C","C","-","-","A","C","B",8
"562","ezhnylpojt",1.02,"1.01-12","redoviti",NA,514,"gimnazija","M","D346","-","D","-","-","-","A","E","-","-","-",8
"563","rvtdunbexw",1.01,"1.01-04","redoviti",NA,NA,"gimnazija","M","A201","E","-","-","B","-","A","-","A","-","A",7.5
"564","cxnydtoikz",1.05,"1.01-02","redoviti",NA,NA,"","F","A201","-","D","B","E","A","-","-","C","C","-",7.5
"565","rpyxhsmwjq",1.03,"1.01-21","redoviti",NA,NA,"","M","A201","-","-","D","C","B","-","E","A","C","A",7.5
"566","kenivuljxq",1.05,"1.01-03","redoviti",NA,NA,"","M","A201","-","-","D","C","B","-","D","A","C","B",7.5
"567","lbgwtzxycs",1.07,"1.01-16","redoviti",NA,NA,"","F","A202","-","D","D","C","A","C","-","A","-","A",7.5
"568","dykgalfbvt",1.06,"1.01-24","redoviti",NA,NA,"gimnazija","F","A211","-","B","B","-","A","A","A","-","C","A",7.5
"569","jcwmksrpxt",1.05,"1.01-08","redoviti",NA,544,"tehni?ka","M","A302","E","-","D","C","B","-","C","-","C","B",7.5
"570","vxaprngcdo",1.01,"1.01-04","redoviti",NA,NA,"","M","B1","B","D","D","-","C","A","E","-","C","-",7.5
"571","uchltzidpy",1.08,"1.01-27","redoviti",NA,NA,"","M","B4","-","-","D","E","A","-","E","A","B","-",7.5
"572","jfbhcruknd",1.05,"1.01-03","redoviti",NA,NA,"gimnazija","M","C12-02","E","-","B","E","B","-","B","-","C","B",7.5
"573","ilmgpvkunb",1.02,"1.01-13","redoviti",NA,NA,"","M","D1","C","D","D","C","D","A","A","C","C","B",7.5
"574","mgahyfnuqd",1.03,"1.01-20","redoviti",NA,NA,"","M","D2","D","D","B","E","D","D","E","A","C","C",7.5
"575","neixmzcubo",1.09,"-","ponavlja",1,NA,"","F","D260","-","-","-","B","-","-","-","A","C","B",7.5
"576","ngrfolbqiu",1.08,"1.01-27","redoviti",NA,NA,"","M","D273","B","-","D","C","D","-","E","-","C","B",7.5
"577","dcygwbpuzm",1.05,"1.01-03","redoviti",NA,NA,"","M","A111","-","-","-","C","B","A","D","C","C","B",7
"578","dpbotxehzf",1.07,"1.01-32","redoviti",NA,NA,"","M","A211","E","-","B","C","-","-","-","-","-","-",7
"579","owxvkdjcnp",1.09,"-","ponavlja",1,NA,"","M","A302","-","-","-","C","-","C","-","A","-","B",7
"580","seruzynmcg",1.03,"1.01-20","redoviti",NA,NA,"","M","B1","-","A","D","C","B","A","E","C","C","-",7
"581","puomrnbjkc",1.01,"1.01-05","redoviti",NA,NA,"","M","B1","E","B","D","C","A","B","D","-","C","-",7
"582","ragixtubkd",1.03,"1.01-21","redoviti",NA,175,"gimnazija","M","D1","E","-","D","E","B","-","E","A","-","-",7
"583","nfjuawlcdx",1.03,"1.01-21","redoviti",NA,NA,"","M","D1","-","B","B","A","-","C","E","E","C","B",7
"584","uscjabrovq",1.05,"1.01-01","redoviti",NA,395,"gimnazija","M","D2","-","D","D","C","B","-","A","A","D","B",7
"585","adhnowkyfe",1.03,"1.01-22","redoviti",NA,NA,"gimnazija","M","D272","-","-","D","C","-","A","E","-","A","-",7
"586","qsfjudniga",1.03,"1.01-20","redoviti",NA,NA,"gimnazija","F","D273","E","-","-","C","B","C","A","-","C","B",7
"587","sydphxcurv",1.02,"1.01-13","redoviti",NA,571,"","M","D273","-","D","B","B","A","C","A","A","A","-",7
"588","sbyrqgeatp",1.03,"1.01-20","redoviti",NA,NA,"","F","D346","-","-","B","C","C","B","-","A","C","-",7
"589","iwkdgspvry",1.02,"1.01-15","redoviti",NA,NA,"","F","A111","B","D","E","C","C","-","E","-","C","-",6.5
"590","yzlxqkghvo",1.01,"1.01-04","redoviti",NA,NA,"tehni?ka","M","A111","-","D","D","C","B","C","-","-","C","B",6.5
"591","qfdetgurva",1.09,"-","ponavlja",1,NA,"","M","A201","A","-","D","C","A","C","D","-","C","B",6.5
"592","iphzxsmcwk",1.01,"1.01-07","redoviti",NA,NA,"","M","A201","C","-","D","C","B","-","E","A","C","C",6.5
"593","dusoibytqp",1.01,"1.01-06","redoviti",NA,NA,"","F","A211","-","-","D","C","-","A","E","C","-","-",6.5
"594","wvoqpclgfx",1.04,"1.01-30","redoviti",NA,NA,"gimnazija","M","A302","-","D","D","C","E","B","-","A","C","-",6.5
"595","jlzniaetcd",1.07,"1.01-10","redoviti",NA,NA,"gimnazija","M","B1","-","-","D","-","A","-","-","A","C","A",6.5
"596","jfsvtauypi",1.09,"1.01-02","redoviti",NA,NA,"gimnazija","M","B2","E","C","D","E","-","-","E","-","C","-",6.5
"597","vxuakdlbyz",1.05,"1.01-08","redoviti",NA,NA,"gimnazija","F","B4","E","B","D","C","A","E","D","A","E","A",6.5
"598","dnakbgozxw",1.07,"1.01-09","redoviti",NA,NA,"","F","C12-02","B","-","D","C","D","A","B","-","C","B",6.5
"599","exrnyjhwgu",1.07,"1.01-10","redoviti",NA,NA,"","M","D1","E","A","D","B","A","C","D","E","C","B",6.5
"600","usqbzeglky",1.06,"1.01-17","redoviti",NA,NA,"gimnazija","M","D2","A","A","D","E","D","A","A","A","C","B",6.5
"601","enrmupabqv",1.01,"1.01-06","redoviti",NA,NA,"","M","D260","D","-","D","C","B","B","E","A","C","-",6.5
"602","tcebgzaqkf",1.09,"-","ponavlja",1,NA,"","M","D346","B","C","D","E","D","A","E","C","C","B",6.5
"603","lknrjuobzw",1.05,"1.01-03","redoviti",NA,276,"gimnazija","F","A201","E","-","B","B","B","-","E","-","E","-",6
"604","ohvrwuxyap",1.02,"1.01-14","redoviti",NA,NA,"","F","A211","-","-","E","D","B","A","-","-","C","B",6
"605","pqkculjrbw",1.08,"1.01-26","redoviti",NA,NA,"","M","A302","E","-","D","D","B","-","-","-","C","B",6
"606","husbocjxqv",1.05,"1.01-02","redoviti",NA,NA,"","M","D2","-","D","B","C","-","-","-","-","-","-",6
"607","unchljdimq",1.07,"1.01-11","redoviti",NA,550,"gimnazija","M","D2","E","-","D","C","C","-","-","-","A","B",6
"608","opxwuzyhes",1.06,"1.01-19","redoviti",NA,NA,"gimnazija","M","D260","D","-","-","-","A","-","B","A","C","-",6
"609","axtmzfcvkr",1.08,"1.01-27","redoviti",NA,NA,"","F","D272","D","-","D","D","A","-","-","-","C","B",6
"610","ghqeuvirfj",1.05,"1.01-08","redoviti",NA,NA,"gimnazija","F","D272","-","D","D","C","-","-","E","-","A","-",6
"611","soqvufjkxw",1.05,"1.01-03","redoviti",NA,NA,"gimnazija","M","A201","A","-","D","C","A","-","-","-","C","-",5.5
"612","nxearoyspv",1.02,"1.01-12","redoviti",NA,NA,"","F","A202","-","-","D","C","A","-","B","-","C","-",5.5
"613","zqhnbfcaxg",1.06,"1.01-19","redoviti",NA,NA,"","F","A209","D","-","D","E","A","-","A","A","E","B",5.5
"614","pfhtvndqki",1.06,"1.01-18","redoviti",NA,NA,"gimnazija","M","B2","-","-","D","C","-","-","B","-","C","B",5.5
"615","cdifqhtnpz",1.08,"1.01-32","redoviti",NA,NA,"","M","B2","-","-","D","C","-","-","A","-","C","B",5.5
"616","zikwhvfjlq",1.05,"1.01-01","redoviti",NA,NA,"","F","D1","E","D","D","C","-","-","-","-","-","A",5.5
"617","nbzmuaiqxw",1.07,"1.01-16","redoviti",NA,NA,"","F","D1","-","-","B","C","B","-","-","-","A","B",5.5
"618","ihdnlgsbqu",1.01,"1.01-04","redoviti",NA,NA,"","F","D260","-","-","B","C","-","D","-","-","B","B",5.5
"619","axmrsiobgq",1.09,"-","ponavlja",1,NA,"","M","D273","-","D","D","-","D","D","E","A","-","-",5.5
"620","tfhiluzywo",1.01,"1.01-05","redoviti",NA,420,"gimnazija","M","D273","E","-","D","C","C","-","E","D","-","-",5.5
"621","ahmrtkubgp",1.04,"1.01-30","redoviti",NA,NA,"gimnazija","M","A201","E","-","-","C","-","-","-","-","-","-",5
"622","fjrmybcuhp",1.09,"-","ponavlja",1,NA,"","M","A211","-","-","D","D","-","-","E","A","-","-",5
"623","uqalyndovx",1.02,"-","ponavlja",1,NA,"","F","B1","-","-","-","C","B","-","E","-","C","C",5
"624","lpjxfayugq",1.01,"1.01-04","redoviti",NA,262,"gimnazija","M","C12-02","E","-","D","-","-","-","-","A","D","-",5
"625","ryzdvbwukf",1.04,"1.01-30","redoviti",NA,NA,"","F","D1","C","A","D","C","A","C","A","C","C","B",5
"626","smqwybrvhi",1.07,"1.01-11","redoviti",NA,NA,"gimnazija","F","D152","E","-","D","E","B","D","-","-","C","B",5
"627","ibgvcweulp",1.02,"1.01-14","redoviti",NA,153,"gimnazija","F","D2","E","B","B","C","C","B","B","B","B","B",5
"628","dowisjktyl",1.06,"-","ponavlja",1,NA,"","F","D2","B","-","D","D","D","-","E","-","C","B",5
"629","zryskqpmai",1.03,"1.01-23","redoviti",NA,221,"gimnazija","M","D273","E","-","-","C","-","-","-","-","-","-",5
"630","rckzfutbxo",1.01,"1.01-04","redoviti",NA,NA,"","M","A111","-","-","D","C","B","C","-","-","C","B",4.5
"631","nqachgwlsi",1.05,"1.01-03","redoviti",NA,NA,"gimnazija","M","A301","A","D","D","C","-","-","E","-","-","A",4.5
"632","znmldwpvtx",1.04,"1.01-30","redoviti",NA,NA,"","M","A301","A","-","D","C","D","-","-","-","C","B",4.5
"633","zbcexparyi",1.07,"1.01-11","redoviti",NA,NA,"","M","B1","-","D","D","C","B","-","-","-","C","-",4.5
"634","bmapufdwls",1.01,"1.01-06","redoviti",NA,NA,"","M","B2","-","-","-","D","A","-","-","-","C","-",4.5
"635","luopiwhamr",1.08,"1.01-32","redoviti",NA,NA,"gimnazija","M","B2","-","-","D","C","B","C","-","-","C","B",4.5
"636","rnqdtmlesw",1.03,"1.01-28","redoviti",NA,NA,"","F","B4","-","-","D","C","E","C","-","-","C","B",4.5
"637","awrvhykubq",1.01,"1.01-05","redoviti",NA,NA,"gimnazija","M","B4","B","-","A","C","-","-","D","-","C","B",4.5
"638","szeiarukgj",1.08,"1.01-27","redoviti",NA,NA,"","F","B4","A","C","B","C","D","A","A","-","C","A",4.5
"639","sdrpulxtfj",1.01,"1.01-06","redoviti",NA,NA,"","M","B4","A","-","D","C","B","-","-","-","C","B",4.5
"640","kqfhbyvgxs",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","F","C12-02","-","-","-","C","A","B","C","A","A","E",4.5
"641","dcvitfnrwl",1.05,"1.01-01","redoviti",NA,NA,"","M","D1","-","-","D","C","B","-","-","D","C","B",4.5
"642","aifwmlkvdq",1.03,"1.01-21","redoviti",NA,NA,"","F","D2","E","B","D","C","B","C","-","-","E","B",4.5
"643","gctzfilwrn",1.02,"1.01-13","redoviti",NA,NA,"","M","D2","E","-","D","C","B","C","D","A","-","-",4.5
"644","afxcdpmtgz",1.06,"1.01-19","redoviti",NA,NA,"","F","D2","-","-","-","E","B","B","E","B","C","B",4.5
"645","nctmaqfsrx",1.09,"-","ponavlja",1,NA,"","M","D272","E","-","D","C","-","-","-","-","-","-",4.5
"646","bwujqlhtax",1.09,"-","ponavlja",1,NA,"gimnazija","M","A111","E","A","D","-","-","A","D","C","C","A",4
"647","tfcadmbulh",1.04,"1.01-29","redoviti",NA,NA,"gimnazija","F","A301","-","-","-","C","-","-","-","-","C","-",4
"648","ftguydrkhn",1.07,"1.01-11","redoviti",NA,NA,"","F","B2","E","C","D","C","B","-","-","C","C","-",4
"649","paebvmluwy",1.05,"1.01-02","redoviti",NA,NA,"","M","B4","E","-","D","D","C","-","B","A","C","A",4
"650","rgiaeyzusw",1.07,"1.01-23","ponavlja",2,NA,"","M","C12-02","-","-","-","C","-","-","-","-","C","-",4
"651","yxhkceunmt",1.07,"1.01-09","redoviti",NA,NA,"","M","D260","-","-","D","E","B","B","A","A","C","B",4
"652","ueoikhayps",1.02,"1.01-14","redoviti",NA,NA,"","F","D272","-","D","-","C","-","-","-","-","-","-",4
"653","xrispoeuqv",1.05,"1.01-01","redoviti",NA,NA,"","M","A111","B","-","D","C","A","-","-","-","-","-",3.5
"654","tsuobqyfik",1.07,"1.01-16","redoviti",NA,350,"gimnazija","M","A111","C","-","D","C","A","C","-","D","C","-",3.5
"655","hwnuxaftvp",1.03,"1.01-23","redoviti",NA,NA,"gimnazija","M","A201","-","-","D","C","E","A","-","-","-","-",3.5
"656","vtwclomiar",1.01,"1.01-07","redoviti",NA,NA,"gimnazija","M","D1","E","-","D","A","A","-","-","C","E","-",3.5
"657","duejwqyghf",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","M","D272","D","D","-","B","C","-","D","-","C","B",3.5
"658","odrgujsxze",1.01,"1.01-06","redoviti",NA,NA,"","M","A209","E","-","A","E","C","-","D","A","-","-",3
"659","myszhxencq",1.02,"1.01-12","redoviti",NA,NA,"","M","A302","-","-","D","E","A","-","A","-","C","-",3
"660","jtxsbizoyv",1.01,"1.01-06","redoviti",NA,NA,"","M","B1","-","-","D","B","A","-","B","-","C","-",3
"661","ircbpwgyjo",1.05,"1.01-02","redoviti",NA,468,"gimnazija","M","A201","C","E","D","B","C","D","E","C","C","B",2.5
"662","lkcdvjptos",1.04,"1.01-28","redoviti",NA,NA,"gimnazija","M","A211","D","-","D","B","-","-","E","A","B","A",2.5
"663","pyhofzsjgr",1.03,"1.01-21","redoviti",NA,NA,"gimnazija","M","A211","E","-","D","-","B","-","-","-","C","A",2.5
"664","ztqwciahbm",1.02,"1.01-12","redoviti",NA,NA,"gimnazija","F","A211","-","D","B","D","C","-","-","C","C","E",2.5
"665","dmbthayfuj",1.02,"1.01-15","redoviti",NA,NA,"gimnazija","F","A301","A","C","-","C","-","C","-","-","-","B",2.5
"666","cpxmiudhby",1.02,"1.01-15","redoviti",NA,NA,"","F","B2","-","-","-","E","-","-","-","A","-","-",2.5
"667","ilwekqxbpj",1.06,"1.01-17","redoviti",NA,NA,"","F","B4","A","D","D","-","B","B","B","-","C","B",2.5
"668","rehaioyxns",1.07,"1.01-16","redoviti",NA,NA,"","M","D260","-","A","D","B","A","D","-","-","C","-",2.5
"669","zekqtxclfs",1.05,"1.01-03","redoviti",NA,NA,"","M","D260","-","-","D","C","D","-","-","-","C","-",2.5
"670","dkbfsipgta",1.01,"1.01-04","redoviti",NA,531,"gimnazija","M","D272","-","B","A","C","B","-","-","-","E","B",2.5
"671","sfbypgvcte",1.03,"1.01-21","redoviti",NA,NA,"","M","A111","D","-","D","D","A","-","B","A","-","A",2
"672","pyozluevgi",1.03,"1.01-22","redoviti",NA,NA,"","F","A111","-","-","-","C","-","-","-","-","-","-",2
"673","gzblvjpceq",1.07,"1.01-16","redoviti",NA,NA,"gimnazija","M","A301","E","A","D","B","E","-","-","A","B","C",2
"674","djhfxuirmc",1.06,"1.01-17","redoviti",NA,NA,"gimnazija","F","B1","-","-","-","C","-","-","D","-","C","A",2
"675","zumshxfytq",1.06,"1.01-19","redoviti",NA,NA,"","F","D1","-","D","D","D","D","-","-","-","C","-",2
"676","qultxpjicd",1.01,"1.01-07","redoviti",NA,NA,"gimnazija","M","D1","D","-","-","C","-","A","-","B","-","C",2
"677","pjtxcvnmlr",1.03,"1.01-22","redoviti",NA,NA,"gimnazija","M","D152","E","C","D","C","D","E","C","-","C","C",2
"678","ehbinsvquw",1.03,"1.01-20","redoviti",NA,NA,"","F","D152","-","-","D","B","A","-","-","-","-","-",2
"679","fezvgxjlns",1.06,"1.01-18","redoviti",NA,NA,"","M","D2","-","A","D","C","B","C","D","C","C","B",2
"680","dqjbefaunc",1.05,"1.01-01","redoviti",NA,NA,"","F","D2","E","E","D","C","-","C","B","-","-","-",2
"681","hjwmrfilbs",1.03,"1.01-21","redoviti",NA,NA,"tehni?ka","M","A209","-","A","B","D","-","A","D","B","B","-",1.5
"682","gombciyaux",1.01,"1.01-04","redoviti",NA,NA,"gimnazija","F","A209","-","-","B","E","-","-","-","-","-","-",1.5
"683","iuvlngypkf",1.03,"1.01-20","redoviti",NA,457,"gimnazija","M","A301","D","-","D","C","C","-","-","-","C","-",1.5
"684","txmlbyjdhu",1.05,"1.01-02","redoviti",NA,NA,"","F","B1","-","C","-","C","B","D","-","-","C","-",1.5
"685","rziyaqgvpj",1.04,"1.01-30","redoviti",NA,555,"gimnazija","M","B4","-","-","D","-","B","-","B","A","C","A",1.5
"686","ermcwgudqj",1.09,"-","ponavlja",1,613,"gimnazija","M","D272","C","-","-","B","-","-","-","A","-","-",1.5
"687","wkcnqslgpi",1.06,"1.01-24","redoviti",NA,NA,"tehni?ka","M","A202","E","-","D","B","B","-","-","-","-","-",1
"688","wbvtioneyj",1.07,"1.01-11","redoviti",NA,NA,"","M","A211","-","-","-","-","B","-","-","-","C","-",1
"689","kioqhncfxe",1.08,"1.01-25","redoviti",NA,NA,"","M","B4","E","B","B","C","C","D","C","E","D","A",1
"690","fuksbezmya",1.01,"1.01-07","redoviti",NA,NA,"gimnazija","F","D1","E","-","D","C","-","-","A","C","E","A",1
