"","JMBAG","Predavanja","Labos","Status","Broj.ponavljanja","Rang.matura","Srednja.škola","Spol","Dvorana","Pitanje.1","Pitanje.2","Pitanje.3","Pitanje.4","Pitanje.5","Pitanje.6","Pitanje.7","Pitanje.8","Pitanje.9","Pitanje.10","Broj.bodova"
"331","sjfyogdbrk",1.03,"1.01-20","redoviti",NA,NA,"gimnazija","F","D2","E","D","B","C","D","A","E","-","C","-",16
"332","outlxmyasq",1.06,"1.01-16","redoviti",NA,124,"gimnazija","M","D2","E","-","-","C","C","A","E","A","-","B",16
"333","irxcdeyqpa",1.08,"1.01-26","redoviti",NA,NA,"tehni?ka","M","D260","-","D","B","C","B","-","E","A","C","B",16
"334","mlfvpcjsak",1.02,"-","ponavlja",1,NA,"gimnazija","F","D272","A","D","B","C","A","-","E","-","C","B",16
"335","lnsdqgvupa",1.01,"1.01-04","redoviti",NA,NA,"gimnazija","M","D346","-","D","B","C","A","-","B","A","C","B",16
"336","deojlxtkfc",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","M","A201","B","D","D","C","B","A","E","A","C","B",15.5
"337","mgsktyfwzh",1.03,"1.01-20","redoviti",NA,NA,"gimnazija","F","A301","E","D","D","C","C","A","E","A","C","E",15.5
"338","fewhsizvpy",1.07,"1.01-11","redoviti",NA,372,"tehni?ka","M","A301","E","-","D","C","-","A","E","-","C","B",15.5
"339","inmbgyuxwa",1.02,"1.01-12","redoviti",NA,NA,"tehni?ka","M","A302","-","D","D","C","A","A","-","A","-","B",15.5
"340","npdtxzqkrv",1.02,"1.01-14","redoviti",NA,NA,"","M","B1","-","-","D","C","A","A","-","A","C","B",15.5
"341","qphjsnroxe",1.02,"1.01-14","redoviti",NA,NA,"","M","B1","-","-","D","C","A","A","E","-","C","B",15.5
"342","wvipndlsuq",1.06,"1.01-18","redoviti",NA,NA,"","M","C12-02","E","D","D","C","C","A","D","A","C","B",15.5
"343","aefwdniomu",1.09,"-","ponavlja",1,NA,"gimnazija","M","D152","-","D","-","E","-","A","E","A","C","B",15.5
"344","lofznmbydc",1.06,"1.01-24","redoviti",NA,NA,"tehni?ka","M","D2","E","D","-","E","-","-","E","A","C","B",15.5
"345","mcvhoqjier",1.04,"1.01-30","redoviti",NA,NA,"","M","D2","E","C","D","E","A","A","E","-","C","B",15.5
